證券代號,市值佔 大盤比重,排行,證券名稱
8163,0.023%,379,達方
8201,0.0027%,919,無敵
8210,0.0458%,237,勤誠
8213,0.022%,397,志超
8215,0.0251%,364,明基材
8222,0.0063%,758,寶一
8249,0.0078%,699,菱光
8261,0.0146%,512,富鼎
8271,0.0115%,590,宇瞻
8341,0.0328%,308,日友
8367,0.007%,728,建新國際
8374,0.0053%,795,羅昇
8404,0.0131%,547,百和興業-KY
8411,0.0062%,762,福貞-KY
8422,0.0392%,268,可寧衛
8429,0.0036%,882,金麗-KY
8438,0.0037%,881,昶昕
8442,0.0097%,646,威宏-KY
8443,0.0015%,957,阿瘦
8454,0.2448%,71,富邦媒
8462,0.0227%,386,柏文
8463,0.0072%,716,潤泰材
8464,0.1781%,90,億豐
8466,0.0061%,763,美吉吉-KY
8467,0.0059%,771,波力-KY
8473,0.0082%,690,山林水
8478,0.0946%,139,東哥遊艇
8481,0.0067%,744,政伸
8482,0.0139%,525,商億-KY
8488,0.0023%,938,吉源-KY
8499,0.0099%,639,鼎炫-KY
8926,0.0702%,163,台汽電
8940,0.0033%,896,新天地
8996,0.0568%,196,高力
9802,0.0446%,242,鈺齊-KY
9902,0.0023%,937,台火
9904,0.1722%,91,寶成
9905,0.0141%,523,大華
9906,0.0088%,669,欣巴巴
9907,0.0526%,205,統一實
9908,0.0317%,313,大台北
9910,0.3496%,53,豐泰
9911,0.0261%,355,櫻花
9912,0.0011%,961,偉聯
9914,0.1211%,119,美利達
9917,0.0924%,140,中保科
9918,0.0139%,524,欣天然
9919,0.007%,729,康那香
9921,0.1701%,92,巨大
9924,0.0151%,500,福興
9925,0.0291%,331,新保
9926,0.018%,451,新海
9927,0.0167%,465,泰銘
9928,0.0021%,944,中視
9929,0.002%,945,秋雨
9930,0.0241%,371,中聯資源
9931,0.0086%,675,欣高
9933,0.0605%,184,中鼎
9934,0.0103%,627,成霖
9935,0.0061%,764,慶豐富
9937,0.0405%,264,全國
9938,0.0323%,310,百和
9939,0.0579%,193,宏全
9940,0.04%,266,信義
9941,0.1943%,84,裕融
9942,0.0231%,377,茂順
9943,0.0207%,413,好樂迪
9944,0.0043%,844,新麗
9945,0.2104%,82,潤泰新
9946,0.0087%,670,三發地產
9955,0.0046%,832,佳龍
9958,0.07%,164,世紀鋼
