證券代號,市值佔 大盤比重,排行,證券名稱
2017,0.0116%,585,官田鋼
2020,0.0112%,595,美亞
2022,0.0081%,693,聚亨
2023,0.0552%,202,燁輝
2024,0.0032%,898,志聯
2025,0.0028%,915,千興
2027,0.1798%,89,大成鋼
2028,0.0148%,509,威致
2029,0.0147%,510,盛餘
2030,0.0108%,609,彰源
2031,0.0292%,330,新光鋼
2032,0.0042%,848,新鋼
2033,0.0023%,933,佳大
2034,0.0229%,382,允強
2038,0.0067%,745,海光
2049,0.1396%,110,上銀
2059,0.1616%,95,川湖
2062,0.0083%,684,橋椿
2069,0.0056%,782,運錩
2101,0.0592%,187,南港
2102,0.0157%,487,泰豐
2103,0.0388%,270,台橡
2104,0.0383%,272,國際中橡
2105,0.2331%,73,正新
2106,0.0524%,206,建大
2107,0.0134%,534,厚生
2108,0.0335%,304,南帝
2109,0.0074%,706,華豐
2114,0.0149%,505,鑫永銓
2115,0.0059%,773,六暉-KY
2201,0.1641%,94,裕隆
2204,0.0916%,142,中華
2206,0.1177%,121,三陽工業
2207,0.7742%,18,和泰車
2208,0.0407%,261,台船
2211,0.0473%,229,長榮鋼
2227,0.11%,129,裕日車
2228,0.0135%,533,劍麟
2231,0.0383%,273,為升
2233,0.0127%,561,宇隆
2236,0.0056%,781,百達-KY
2239,0.0154%,492,英利-KY
2241,0.0069%,733,艾姆勒
2243,0.0021%,943,宏旭-KY
2247,0.0475%,227,汎德永業
2250,0.0039%,869,IKKA-KY
2301,0.6666%,24,光寶科
2302,0.0057%,779,麗正
2303,1.099%,10,聯電
2305,0.0082%,691,全友
2308,1.7755%,4,台達電
2312,0.0483%,223,金寶
2313,0.1014%,136,華通
2314,0.0199%,422,台揚
2316,0.0153%,496,楠梓電
2317,2.8129%,2,鴻海
2323,0.0269%,352,中環
2324,0.251%,70,仁寶
2327,0.3627%,52,國巨
2328,0.0403%,265,廣宇
2329,0.0467%,233,華泰
2330,27.4%,1,台積電
2331,0.0309%,317,精英
2332,0.0226%,388,友訊
2337,0.1083%,132,旺宏
2338,0.0364%,287,光罩
2340,0.0382%,276,台亞
2342,0.0119%,578,茂矽
2344,0.2185%,78,華邦電
2345,0.4002%,46,智邦
2347,0.1847%,87,聯強
2348,0.0144%,517,海悅
2349,0.0119%,577,錸德
2351,0.0363%,288,順德
2352,0.183%,88,佳世達
2353,0.1995%,83,宏碁
2354,0.1473%,105,鴻準
2355,0.0253%,362,敬鵬
2356,0.4274%,38,英業達
2357,0.5056%,34,華碩
2358,0.0025%,927,廷鑫
2359,0.0128%,559,所羅門
2360,0.2196%,77,致茂
2362,0.0392%,269,藍天
2363,0.0283%,340,矽統
2364,0.0041%,852,倫飛
2365,0.0048%,822,昆盈
2367,0.0221%,394,燿華
2368,0.1559%,98,金像電
2369,0.0133%,542,菱生
2371,0.2166%,79,大同
2373,0.0337%,302,震旦行
2374,0.0106%,616,佳能
2375,0.0131%,550,凱美
2376,0.3733%,50,技嘉
2377,0.3073%,55,微星
2379,0.4129%,42,瑞昱
2380,0.0041%,851,虹光
2382,1.7228%,5,廣達
2383,0.2578%,69,台光電
2385,0.1485%,103,群光
2387,0.0155%,490,精元
2388,0.1239%,118,威盛
2390,0.0046%,827,云辰
2392,0.0374%,278,正崴
2393,0.043%,248,億光
2395,0.6272%,25,研華
2397,0.017%,463,友通
2399,0.0084%,681,映泰
2401,0.034%,300,凌陽
2402,0.0203%,419,毅嘉
2404,0.0786%,151,漢唐
2405,0.0101%,630,輔信
2406,0.011%,601,國碩
2408,0.4189%,41,南亞科
2409,0.2981%,59,友達
2412,1.6828%,6,中華電
2413,0.0078%,697,環科
2414,0.0105%,623,精技
2415,0.0046%,828,錩新
2417,0.0062%,761,圓剛
2419,0.0274%,345,仲琦
2420,0.015%,501,新巨
2421,0.0619%,183,建準
2423,0.0094%,650,固緯
2424,0.0017%,951,隴華
2425,0.0099%,635,承啟
2426,0.0121%,573,鼎元
2427,0.0092%,659,三商電
2428,0.0383%,274,興勤
2429,0.001%,962,銘旺科
2430,0.0094%,649,燦坤
2431,0.0024%,929,聯昌
2432,0.0052%,803,倚天酷碁-創
2433,0.0137%,530,互盛電
2434,0.001%,963,統懋
2436,0.02%,421,偉詮電
2438,0.0026%,922,翔耀
2439,0.0371%,282,美律
2440,0.0029%,909,太空梭
2441,0.0648%,177,超豐
2442,0.0086%,676,新美齊
2444,0.0028%,913,兆勁
2449,0.1441%,108,京元電子
2450,0.0171%,459,神腦
2451,0.0571%,195,創見
2453,0.0117%,582,凌群
2454,2.0641%,3,聯發科
2455,0.0458%,238,全新
2457,0.0426%,250,飛宏
2458,0.0662%,173,義隆
2459,0.0113%,593,敦吉
2460,0.0074%,707,建通
2461,0.0078%,698,光群雷
2462,0.007%,720,良得電
2464,0.0143%,520,盟立
2465,0.0041%,850,麗臺
2466,0.0118%,581,冠西電
2467,0.0144%,519,志聖
