Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-02-11,333.75,337.5,327.5,328.75,150.37368774414062,61346198,0.0,0.0
2022-02-14,328.75,338.75,325.0,325.0,148.65841674804688,56169684,0.0,0.0
2022-02-15,328.75,332.5,325.0,330.0,150.94546508789062,26797529,0.0,0.0
2022-02-16,337.5,338.75,332.5,333.75,152.66073608398438,34191098,0.0,0.0
2022-02-17,335.0,341.25,332.5,333.75,152.66073608398438,42334650,0.0,0.0
2022-02-18,332.5,355.0,330.0,353.75,161.8089599609375,79461471,0.0,0.0
2022-02-21,357.5,368.75,357.5,367.5,168.09835815429688,99109717,0.0,0.0
2022-02-22,363.75,367.5,338.75,356.25,162.95248413085938,118977206,0.0,0.0
2022-02-23,362.5,370.0,361.25,362.5,165.81130981445312,61905765,0.0,0.0
2022-02-24,353.75,367.5,346.25,353.75,161.8089599609375,101190263,0.0,0.0
2022-02-25,366.25,367.5,357.5,358.75,164.09600830078125,58426818,0.0,0.0
2022-03-01,365.0,377.5,361.25,376.25,172.10069274902344,89985622,0.0,0.0
2022-03-02,375.0,385.0,372.5,378.75,173.2442169189453,75775397,0.0,0.0
2022-03-03,386.25,406.25,383.75,401.25,183.53594970703125,91383741,0.0,0.0
2022-03-04,403.75,427.5,397.5,397.5,181.82066345214844,171683996,0.0,0.0
2022-03-07,401.25,405.0,377.5,377.5,172.67245483398438,134593268,0.0,0.0
2022-03-08,370.0,383.75,346.25,367.5,168.09835815429688,155439766,0.0,0.0
2022-03-09,381.25,390.0,372.5,390.0,178.3900909423828,104500609,0.0,0.0
2022-03-10,402.5,406.25,390.0,390.0,178.3900909423828,97075180,0.0,0.0
2022-03-11,387.5,400.0,387.5,400.0,182.9641876220703,77417141,0.0,0.0
2022-03-14,406.25,415.0,405.0,411.25,188.1100616455078,84776113,0.0,0.0
2022-03-15,412.5,417.5,393.75,395.0,180.67713928222656,119569207,0.0,0.0
2022-03-16,401.25,408.75,356.25,357.5,163.5242462158203,211888739,0.0,0.0
2022-03-17,365.0,370.0,346.25,366.25,167.52659606933594,124383133,0.0,0.0
2022-03-18,362.5,363.75,350.0,352.5,161.23719787597656,65771991,0.0,0.0
2022-03-21,352.5,362.5,346.25,361.25,165.23953247070312,51182108,0.0,0.0
2022-03-22,360.0,363.75,356.25,356.25,162.95248413085938,29639216,0.0,0.0
2022-03-23,358.75,362.5,353.75,358.75,164.09600830078125,27507834,0.0,0.0
2022-03-24,356.25,360.0,351.25,351.25,160.66542053222656,33766215,0.0,0.0
2022-03-25,350.0,350.0,331.25,331.25,151.51722717285156,65503518,0.0,0.0
2022-03-28,320.0,336.25,317.5,332.5,152.08897399902344,37343796,0.0,0.0
2022-03-29,335.0,343.75,335.0,337.5,154.37603759765625,24376151,0.0,0.0
2022-03-30,340.0,341.25,333.75,337.5,154.37603759765625,22628748,0.0,0.0
2022-03-31,338.75,342.5,333.75,337.5,154.37603759765625,15435413,0.0,0.0
2022-04-01,335.0,346.25,333.75,346.25,158.3783721923828,27459704,0.0,0.0
2022-04-06,337.5,338.75,332.5,333.75,152.66073608398438,30262213,0.0,0.0
2022-04-07,327.5,333.75,321.25,321.25,146.943115234375,29730202,0.0,0.0
2022-04-08,327.5,341.25,326.25,338.75,154.9477996826172,38354743,0.0,0.0
2022-04-11,341.25,346.25,338.75,340.0,155.51956176757812,35852412,0.0,0.0
2022-04-12,341.25,342.5,330.0,336.25,153.8042755126953,30719400,0.0,0.0
2022-04-13,341.25,351.25,340.0,350.0,160.0936737060547,40758497,0.0,0.0
2022-04-14,351.25,355.0,345.0,345.0,157.80661010742188,29431867,0.0,0.0
2022-04-15,342.5,355.0,342.5,353.75,161.8089599609375,30935385,0.0,0.0
2022-04-18,352.5,353.75,345.0,345.0,157.80661010742188,22670434,0.0,0.0
2022-04-19,350.0,356.25,348.75,353.75,161.8089599609375,24934894,0.0,0.0
2022-04-20,357.5,361.25,355.0,358.75,164.09600830078125,38708922,0.0,0.0
2022-04-21,362.5,368.75,362.5,363.75,166.383056640625,30204327,0.0,0.0
2022-04-22,361.25,372.5,358.75,368.75,168.6701202392578,32538712,0.0,0.0
2022-04-25,360.0,362.5,347.5,348.75,159.52191162109375,55642333,0.0,0.0
2022-04-26,352.5,356.25,347.5,347.5,158.95013427734375,19784091,0.0,0.0
2022-04-27,335.0,351.25,332.5,350.0,160.0936737060547,36207641,0.0,0.0
2022-04-28,355.0,355.0,345.0,345.0,157.80661010742188,24533039,0.0,0.0
2022-04-29,351.25,363.75,350.0,362.5,165.81130981445312,45315784,0.0,0.0
2022-05-03,365.0,366.25,360.0,366.25,167.52659606933594,28336690,0.0,0.0
2022-05-04,371.25,382.5,371.25,378.75,173.2442169189453,46099772,0.0,0.0
2022-05-05,385.0,388.75,376.25,381.25,174.3877410888672,48537524,0.0,0.0
2022-05-06,373.75,386.25,371.25,385.0,176.10304260253906,49897132,0.0,0.0
2022-05-09,381.25,385.0,367.5,367.5,168.09835815429688,57719124,0.0,0.0
2022-05-10,357.5,376.25,356.25,372.5,170.38540649414062,46069572,0.0,0.0
2022-05-11,371.25,375.0,361.25,361.25,165.23953247070312,32680232,0.0,0.0
2022-05-12,363.75,368.75,347.5,347.5,158.95013427734375,48166747,0.0,0.0
2022-05-13,356.25,360.0,355.0,358.75,164.09600830078125,25901423,0.0,0.0
2022-05-16,357.5,357.5,341.25,343.75,157.23486328125,50804357,0.0,0.0
2022-05-17,345.0,348.75,337.5,338.75,154.9477996826172,32662455,0.0,0.0
2022-05-18,343.75,346.25,342.5,343.75,157.23486328125,20390631,0.0,0.0
2022-05-19,335.0,341.25,325.0,340.0,155.51956176757812,52910297,0.0,0.0
2022-05-20,342.5,346.25,336.25,337.5,154.37603759765625,28549050,0.0,0.0
2022-05-23,345.0,367.5,343.75,360.0,164.6677703857422,74971930,0.0,0.0
2022-05-24,363.75,366.25,355.0,355.0,162.38072204589844,37327597,0.0,0.0
2022-05-25,361.25,365.0,353.75,357.5,163.5242462158203,27564892,0.0,0.0
2022-05-26,361.25,362.5,352.5,355.0,162.38072204589844,18652718,0.0,0.0
2022-05-27,361.25,363.75,356.25,361.25,165.23953247070312,23139628,0.0,0.0
2022-05-30,363.75,365.0,360.0,360.0,164.6677703857422,23696416,0.0,0.0
2022-05-31,362.5,365.0,351.25,351.25,160.66542053222656,34560801,0.0,0.0
2022-06-01,353.75,362.5,352.5,361.25,165.23953247070312,25381428,0.0,0.0
2022-06-02,358.75,362.5,356.25,361.25,165.23953247070312,14272495,0.0,0.0
2022-06-06,365.0,370.0,358.75,358.75,164.09600830078125,28757886,0.0,0.0
2022-06-07,360.0,363.75,357.5,361.25,165.23953247070312,13035128,0.0,0.0
2022-06-08,363.75,366.25,360.0,363.75,166.383056640625,18960191,0.0,0.0
2022-06-09,350.0,355.0,348.75,350.0,160.0936737060547,45914854,0.0,0.0
2022-06-10,346.25,350.0,342.5,347.5,158.95013427734375,22272366,0.0,0.0
2022-06-13,335.0,336.25,325.0,326.25,149.23016357421875,44029320,0.0,0.0
2022-06-14,322.5,330.0,321.25,328.75,150.37368774414062,42198541,0.0,0.0
2022-06-15,328.75,331.25,320.0,320.0,146.37136840820312,34874832,0.0,0.0
2022-06-16,325.0,326.25,297.5,298.75,136.65138244628906,77603788,0.0,0.0
2022-06-17,296.25,302.5,291.25,298.75,136.65138244628906,57691048,0.0,0.0
2022-06-20,300.0,300.0,271.25,273.75,125.21611785888672,84319936,0.0,0.0
2022-06-21,280.0,282.5,271.25,275.0,125.78787994384766,53628255,0.0,0.0
2022-06-22,275.0,275.0,252.5,255.0,116.6396713256836,104812690,0.0,0.0
2022-06-23,256.25,258.75,240.25,240.25,109.89286804199219,85582410,0.0,0.0
2022-06-24,247.25,256.25,244.0,246.75,112.86603546142578,56173730,0.0,0.0
2022-06-27,255.0,271.25,255.0,271.25,124.07259368896484,70700304,0.0,0.0
2022-06-28,268.75,275.0,261.25,271.25,124.07259368896484,105185243,0.0,0.0
2022-06-29,233.75,239.25,222.5,222.5,122.01612854003906,139126565,44.999992,0.0
2022-06-30,221.5,221.75,211.25,211.5,115.98387145996094,66132303,0.0,0.0
2022-07-01,213.5,216.75,199.25,199.5,109.40322875976562,74497432,0.0,0.0
2022-07-04,201.25,207.25,198.0,206.25,113.10484313964844,51253530,0.0,0.0
2022-07-05,213.0,226.25,205.0,219.25,120.23387145996094,77993691,0.0,0.0
2022-07-06,216.0,224.25,214.0,214.5,117.62903594970703,57248814,0.0,0.0
2022-07-07,217.0,223.25,213.0,221.0,121.19355010986328,50181764,0.0,0.0
2022-07-08,230.75,236.75,230.25,231.75,127.08871459960938,69465264,0.0,0.0
2022-07-11,233.5,234.75,229.0,230.75,126.54032897949219,34001041,0.0,0.0
2022-07-12,222.75,224.0,210.0,215.25,118.04032897949219,57505202,0.0,0.0
2022-07-13,224.5,226.0,217.75,217.75,119.41129302978516,40093907,0.0,0.0
2022-07-14,219.0,227.25,218.75,226.5,124.20967864990234,40234027,0.0,0.0
2022-07-15,226.5,227.0,222.75,223.25,122.42742156982422,29728232,0.0,0.0
2022-07-18,224.75,228.0,222.75,223.25,122.42742156982422,19967510,0.0,0.0
2022-07-19,225.25,233.0,225.25,229.0,125.58065032958984,44361794,0.0,0.0
2022-07-20,232.5,233.0,223.25,224.25,122.9758071899414,36883745,0.0,0.0
2022-07-21,226.25,232.5,226.25,232.5,127.5,37321696,0.0,0.0
2022-07-22,234.75,239.25,231.75,235.5,129.14515686035156,36847176,0.0,0.0
2022-07-25,234.5,234.5,227.0,230.25,126.26612854003906,30048212,0.0,0.0
2022-07-26,228.75,233.0,226.25,229.25,125.71774291992188,20682157,0.0,0.0
2022-07-27,230.5,235.5,230.25,235.0,128.8709716796875,24470310,0.0,0.0
2022-07-28,236.5,237.0,229.25,230.0,126.12903594970703,27870665,0.0,0.0
2022-07-29,234.75,242.0,234.5,238.75,130.92742919921875,49026750,0.0,0.0
2022-08-01,239.75,242.0,236.25,241.5,132.43548583984375,23704860,0.0,0.0
2022-08-02,237.5,237.5,232.5,233.25,127.91129302978516,36479588,0.0,0.0
2022-08-03,236.0,236.75,231.75,233.0,127.77420043945312,22490750,0.0,0.0
2022-08-04,233.0,235.25,230.0,235.0,128.8709716796875,23928064,0.0,0.0
2022-08-05,240.5,248.25,239.75,248.0,136.0,49396269,0.0,0.0
2022-08-08,245.5,255.0,242.5,252.5,138.46774291992188,44500183,0.0,0.0
2022-08-09,252.5,265.0,250.0,262.5,143.9516143798828,51986710,0.0,0.0
2022-08-10,260.0,265.0,256.25,257.5,141.20968627929688,38486643,0.0,0.0
2022-08-11,262.5,266.25,256.25,257.5,141.20968627929688,37829041,0.0,0.0
2022-08-12,258.75,261.25,256.25,260.0,142.5806427001953,19838119,0.0,0.0
2022-08-15,256.25,257.5,248.75,248.75,136.4113006591797,47379060,0.0,0.0
2022-08-16,247.5,250.0,242.75,242.75,133.1209716796875,31626611,0.0,0.0
2022-08-17,245.0,250.0,245.0,245.75,134.76612854003906,30623702,0.0,0.0
2022-08-18,244.75,248.5,243.75,244.5,134.0806427001953,17526966,0.0,0.0
2022-08-19,246.75,247.25,244.0,245.0,134.35484313964844,14449179,0.0,0.0
2022-08-22,240.75,242.0,236.0,240.0,131.61289978027344,20899200,0.0,0.0
2022-08-23,236.5,240.25,236.25,237.75,130.3790283203125,15534730,0.0,0.0
2022-08-24,237.75,239.25,230.25,230.25,126.26612854003906,26104063,0.0,0.0
2022-08-25,232.75,236.0,231.5,233.0,127.77420043945312,15988163,0.0,0.0
2022-08-26,235.75,236.75,233.75,233.75,128.18548583984375,13116780,0.0,0.0
2022-08-29,220.0,222.75,216.25,219.75,120.50806427001953,34360094,0.0,0.0
2022-08-30,220.25,222.0,219.0,220.0,120.6451644897461,13429377,0.0,0.0
2022-08-31,218.0,222.5,213.75,220.75,121.05645751953125,30983478,0.0,0.0
2022-09-01,218.0,219.5,215.5,215.5,118.17742156982422,20719422,0.0,0.0
2022-09-02,215.0,215.0,199.25,199.25,109.26612854003906,47026495,0.0,0.0
2022-09-05,197.0,204.0,196.25,200.0,109.67742156982422,27616966,0.0,0.0
2022-09-06,203.75,205.75,200.5,202.0,110.7741928100586,10179463,0.0,0.0
2022-09-07,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.4
2022-09-08,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-12,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-13,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-14,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-15,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-16,202.0,202.0,202.0,202.0,110.7741928100586,0,0.0,0.0
2022-09-19,185.5,186.0,169.0,169.0,92.67742156982422,67824165,0.0,0.0
2022-09-20,171.5,173.0,167.5,172.5,94.5967788696289,44902449,0.0,0.0
2022-09-21,172.0,173.5,166.5,166.5,91.30645751953125,60601012,0.0,0.0
2022-09-22,163.5,164.5,154.0,156.0,85.54838562011719,75967693,0.0,0.0
2022-09-23,155.5,162.0,155.5,158.0,86.6451644897461,53980374,0.0,0.0
2022-09-26,154.0,155.0,145.5,145.5,79.79032135009766,80056051,0.0,0.0
2022-09-27,149.5,155.0,147.5,153.5,84.17742156982422,58332736,0.0,0.0
2022-09-28,152.0,152.5,143.5,144.0,78.96774291992188,61723199,0.0,0.0
2022-09-29,148.0,151.5,144.0,144.0,78.96774291992188,48119170,0.0,0.0
2022-09-30,139.0,147.0,137.5,146.0,80.06452178955078,55165166,0.0,0.0
2022-10-03,146.0,154.0,145.5,149.5,81.98387145996094,68369520,0.0,0.0
2022-10-04,155.0,156.0,149.0,150.5,82.53225708007812,50247996,0.0,0.0
2022-10-05,152.0,158.5,151.5,155.5,85.2741928100586,55155503,0.0,0.0
2022-10-06,154.5,156.0,150.0,155.5,85.2741928100586,47663784,0.0,0.0
2022-10-07,153.5,157.5,152.5,155.5,85.2741928100586,28527465,0.0,0.0
2022-10-11,153.5,158.0,153.0,156.0,85.54838562011719,43962542,0.0,0.0
2022-10-12,155.5,156.0,147.0,147.0,80.61290740966797,58550119,0.0,0.0
2022-10-13,149.0,150.0,143.5,144.5,79.24193572998047,34130624,0.0,0.0
2022-10-14,149.5,154.0,146.5,152.5,83.62903594970703,51922445,0.0,0.0
2022-10-17,149.0,149.0,137.5,140.0,76.7741928100586,79179260,0.0,0.0
2022-10-18,142.0,145.0,140.5,141.0,77.32258605957031,49153430,0.0,0.0
2022-10-19,142.5,146.5,141.5,144.0,78.96774291992188,46834621,0.0,0.0
2022-10-20,139.0,140.0,132.5,137.0,75.12903594970703,62619855,0.0,0.0
2022-10-21,136.0,138.5,135.5,135.5,74.30644989013672,33493109,0.0,0.0
2022-10-24,140.5,143.5,137.0,137.5,75.40322875976562,43133460,0.0,0.0
2022-10-25,138.5,140.5,136.0,139.0,76.2258071899414,30408935,0.0,0.0
2022-10-26,138.0,139.5,133.5,139.0,76.2258071899414,47428958,0.0,0.0
2022-10-27,140.5,142.5,137.0,142.5,78.1451644897461,31515005,0.0,0.0
2022-10-28,140.0,141.5,136.0,137.5,75.40322875976562,30413622,0.0,0.0
2022-10-31,135.5,137.5,132.0,137.5,75.40322875976562,42037271,0.0,0.0
2022-11-01,138.0,138.5,134.0,135.0,74.03225708007812,28390416,0.0,0.0
2022-11-02,138.0,141.5,136.0,137.0,75.12903594970703,47039080,0.0,0.0
2022-11-03,132.0,136.0,131.5,135.0,74.03225708007812,34074404,0.0,0.0
2022-11-04,133.5,139.0,133.0,139.0,76.2258071899414,34982129,0.0,0.0
2022-11-07,144.0,145.0,141.0,143.5,78.69355010986328,52448330,0.0,0.0
2022-11-08,146.5,152.0,144.0,147.5,80.88710021972656,54107970,0.0,0.0
2022-11-09,149.0,150.0,147.0,148.5,81.43548583984375,34426079,0.0,0.0
2022-11-10,147.0,152.5,146.5,151.0,82.80644989013672,38621243,0.0,0.0
2022-11-11,158.0,159.0,149.5,150.0,82.25806427001953,60946623,0.0,0.0
2022-11-14,150.5,156.0,149.5,155.5,85.2741928100586,47117704,0.0,0.0
2022-11-15,157.5,157.5,152.0,155.0,85.0,31346168,0.0,0.0
2022-11-16,155.0,157.0,153.5,154.5,84.7258071899414,29778699,0.0,0.0
2022-11-17,155.0,157.0,153.5,154.0,84.45161437988281,20296993,0.0,0.0
2022-11-18,154.5,155.0,150.0,150.5,82.53225708007812,21126662,0.0,0.0
2022-11-21,150.0,150.0,147.0,147.5,80.88710021972656,21562418,0.0,0.0
2022-11-22,147.0,151.0,146.5,150.5,82.53225708007812,16170485,0.0,0.0
2022-11-23,152.0,154.5,151.5,153.5,84.17742156982422,21824918,0.0,0.0
2022-11-24,155.0,162.0,152.5,161.0,88.29032135009766,40224075,0.0,0.0
2022-11-25,161.0,165.0,159.5,160.5,88.01612854003906,39798100,0.0,0.0
2022-11-28,159.5,162.5,157.0,157.5,86.3709716796875,30359503,0.0,0.0
2022-11-29,157.5,162.0,155.5,161.0,88.29032135009766,20697426,0.0,0.0
2022-11-30,160.0,163.5,159.0,163.0,89.38710021972656,21110692,0.0,0.0
2022-12-01,165.5,167.0,161.5,162.0,88.83871459960938,25706280,0.0,0.0
2022-12-02,160.5,162.5,158.5,158.5,86.91935729980469,19367632,0.0,0.0
2022-12-05,158.0,161.5,158.0,159.0,87.19355010986328,20934223,0.0,0.0
2022-12-06,158.0,160.0,152.5,152.5,83.62903594970703,30171797,0.0,0.0
2022-12-07,151.0,154.5,149.5,151.5,83.08065032958984,22814493,0.0,0.0
2022-12-08,150.5,152.0,148.5,151.0,82.80644989013672,14132124,0.0,0.0
2022-12-09,151.5,155.0,151.0,154.5,84.7258071899414,16608098,0.0,0.0
